Month,Incidents
10/1/2017,17.00
10/2/2017,95.00
10/3/2017,95.00
10/4/2017,93.00
10/5/2017,101.00
10/6/2017,58.00
10/7/2017,8.00
10/8/2017,3.00
10/9/2017,54.00
10/10/2017,100.00
10/11/2017,88.00
10/12/2017,87.00
10/13/2017,78.00
10/14/2017,9.00
10/15/2017,15.00
10/16/2017,91.00
10/17/2017,82.00
10/18/2017,86.00
10/19/2017,84.00
10/20/2017,81.00
10/21/2017,18.00
10/22/2017,46.00
10/23/2017,118.00
10/24/2017,111.00
10/25/2017,89.00
10/26/2017,76.00
10/27/2017,69.00
10/28/2017,10.00
10/29/2017,6.00
10/30/2017,97.00
10/31/2017,74.00
11/1/2017,105.00
11/2/2017,87.00
11/3/2017,72.00
11/4/2017,11.00
11/5/2017,3.00
11/6/2017,91.00
11/7/2017,76.00
11/8/2017,109.00
11/9/2017,90.00
11/10/2017,50.00
11/11/2017,3.00
11/12/2017,10.00
11/13/2017,94.00
11/14/2017,94.00
11/15/2017,106.00
11/16/2017,85.00
11/17/2017,70.00
11/18/2017,14.00
11/19/2017,19.00
11/20/2017,112.00
11/21/2017,96.00
11/22/2017,96.00
11/23/2017,26.00
11/24/2017,13.00
11/25/2017,2.00
11/26/2017,7.00
11/27/2017,76.00
11/28/2017,100.00
11/29/2017,95.00
11/30/2017,70.00
12/1/2017,92.00
12/2/2017,12.00
12/3/2017,13.00
12/4/2017,70.00
12/5/2017,66.00
12/6/2017,62.00
12/7/2017,80.00
12/8/2017,53.00
12/9/2017,13.00
12/10/2017,9.00
12/11/2017,31.00
12/12/2017,71.00
12/13/2017,69.00
12/14/2017,53.00
12/15/2017,54.00
12/16/2017,20.00
12/17/2017,17.00
12/18/2017,76.00
12/19/2017,78.00
12/20/2017,95.00
12/21/2017,69.00
12/22/2017,48.00
12/23/2017,8.00
12/24/2017,1.00
12/25/2017,14.00
12/26/2017,43.00
12/27/2017,66.00
12/28/2017,54.00
12/29/2017,32.00
12/30/2017,4.00
12/31/2017,3.00
1/1/2018,10.00
1/2/2018,115.00
1/3/2018,78.00
1/4/2018,81.00
1/5/2018,54.00
1/6/2018,12.00
1/7/2018,4.00
1/8/2018,84.00
1/9/2018,86.00
1/10/2018,59.00
1/11/2018,90.00
1/12/2018,64.00
1/13/2018,9.00
1/14/2018,13.00
1/15/2018,29.00
1/16/2018,73.00
1/17/2018,66.00
1/18/2018,83.00
1/19/2018,81.00
1/20/2018,9.00
1/21/2018,9.00
1/22/2018,85.00
1/23/2018,112.00
1/24/2018,104.00
1/25/2018,87.00
1/26/2018,83.00
1/27/2018,11.00
1/28/2018,8.00
1/29/2018,93.00
1/30/2018,83.00
1/31/2018,106.00
2/1/2018,100.00
2/2/2018,84.00
2/3/2018,10.00
2/4/2018,6.00
2/5/2018,78.00
2/6/2018,85.00
2/7/2018,85.00
2/8/2018,83.00
2/9/2018,73.00
2/10/2018,11.00
2/11/2018,4.00
2/12/2018,74.00
2/13/2018,90.00
2/14/2018,94.00
2/15/2018,89.00
2/16/2018,91.00
2/17/2018,14.00
2/18/2018,18.00
2/19/2018,51.00
2/20/2018,95.00
2/21/2018,106.00
2/22/2018,140.00
2/23/2018,75.00
2/24/2018,12.00
2/25/2018,18.00
2/26/2018,101.00
2/27/2018,129.00
2/28/2018,105.00
3/1/2018,7.00
3/2/2018,3.00
3/5/2018,5.00
3/6/2018,6.00
3/7/2018,4.00
3/8/2018,4.00
3/9/2018,7.00
3/12/2018,7.00
3/13/2018,14.00
3/14/2018,4.00
3/15/2018,8.00
3/16/2018,8.00
3/17/2018,1.00
3/19/2018,14.00
3/20/2018,12.00
3/21/2018,9.00
3/22/2018,13.00
3/23/2018,14.00
3/24/2018,1.00
3/26/2018,34.00
3/27/2018,27.00
3/28/2018,28.00
3/29/2018,42.00
3/30/2018,25.00
3/31/2018,10.00
4/1/2018,10.00
4/2/2018,105.00
4/3/2018,90.00
4/4/2018,87.00
4/5/2018,81.00
4/6/2018,71.00
4/7/2018,7.00
4/8/2018,12.00
4/9/2018,82.00
4/10/2018,89.00
4/11/2018,82.00
4/12/2018,68.00
4/13/2018,103.00
4/14/2018,5.00
4/15/2018,11.00
4/16/2018,97.00
4/17/2018,69.00
4/18/2018,93.00
4/19/2018,95.00
4/20/2018,72.00
4/21/2018,4.00
4/22/2018,11.00
4/23/2018,69.00
4/24/2018,100.00
4/25/2018,81.00
4/26/2018,54.00
4/27/2018,41.00
4/28/2018,5.00
4/29/2018,9.00
4/30/2018,51.00
